App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Subscription Duration	Customer Price	Customer Currency	Developer Proceeds	Proceeds Currency	Preserved Pricing	Proceeds Reason	Client	Device	State	Country	Active Subscriptions	Active Free Trials	Marketing Opt-Ins
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	NC	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	5.68	EUR	3.98	EUR				iPad		IRL	3	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	MD	USA	6	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	99000	IDR	69300	IDR				iPhone		IDN	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	AZ	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	UT	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	GA	USA	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	NC	USA	7	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	MA	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	MD	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	RI	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	PA	USA	4	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	AL	USA	4	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	NY	USA	21	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	60	NOK	42	NOK				iPhone		NOR	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365_active	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	WA	USA	1	0	0
